date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:22:23	340561/340561	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2019:25:49%20GMT	https://eliasecuryadv.com.br/	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/index.html	(from )
12:22:24	36216/36216	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:42%20GMT	https://eliasecuryadv.com.br/fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxP.ttf	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/fonts.gstatic.com/s/roboto/v30/KFOmCnqEu92Fr1Mu4mxP.ttf	(from https://eliasecuryadv.com.br/)
12:22:24	36460/36460	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2011%20May%202022%2019:24:42%20GMT	https://eliasecuryadv.com.br/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc9.ttf	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/fonts.gstatic.com/s/roboto/v30/KFOlCnqEu92Fr1MmEU9fBBc9.ttf	(from https://eliasecuryadv.com.br/)
12:22:24	1103/1103	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Aug%202022%2000:06:40%20GMT	https://eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/favicon-32x32.png	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/favicon-32x32.png	(from https://eliasecuryadv.com.br/)
12:22:28	311475/311475	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jun%202024%2015:22:27%20GMT	https://eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/img/favicon-32x32.ico	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/img/favicon-32x32.ico	(from https://eliasecuryadv.com.br/)
12:22:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Jun%202024%2015:22:28%20GMT	http://eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/arquitetura-portal.webp	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/arquitetura-portal.4.delayed	(from https://eliasecuryadv.com.br/)
12:22:29	126782/126782	---M--	200	added ('OK')	image/webp	date:Sat,%2020%20Aug%202022%2000:06:35%20GMT	https://eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/arquitetura-portal.webp	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/arquitetura-portal.webp	(from https://eliasecuryadv.com.br/)
12:22:29	340681/340681	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jun%202024%2015:22:29%20GMT	https://eliasecuryadv.com.br/page/2/	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/page/2/index.html	(from https://eliasecuryadv.com.br/)
12:22:29	1103/1103	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2018:44:04%20GMT	https://eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-32x32.png	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-32x32.png	(from https://eliasecuryadv.com.br/)
12:22:29	326011/326011	---MCZ	200	added ('OK')	application/json	date:Wed,%2005%20Jun%202024%2015:22:29%20GMT	https://eliasecuryadv.com.br/wp-json/	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-json/index.html	(from https://eliasecuryadv.com.br/)
12:22:30	6480/6480	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2018:44:03%20GMT	https://eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-192x192.png	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-192x192.png	(from https://eliasecuryadv.com.br/)
12:22:30	5916/5916	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Aug%202022%2018:44:02%20GMT	https://eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-180x180.png	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/uploads/2017/07/cropped-eliascury_favicon-180x180.png	(from https://eliasecuryadv.com.br/)
12:22:30	7712/7712	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Aug%202022%2000:06:40%20GMT	https://eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/logo-eliasecury.png	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/wp-content/themes/eliasecuryadv/assets/images/logo-eliasecury.png	(from https://eliasecuryadv.com.br/)
12:22:31	263227/263227	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2023:25:28%20GMT	https://eliasecuryadv.com.br/nossa-historia/	C:/Users/User/Desktop/Sites%20html%20Advogados/Site%2014/Site%2014/eliasecuryadv.com.br/nossa-historia/index.html	(from https://eliasecuryadv.com.br/)
